city,site,id,Park_Name,Land_Use,name,Parent,Passive,Private,Disturbed
Camden,CAS13,CAP30,Farnham Park,Rain Garden,A,Coastal Plain Sediments,Active,Public,Disturbed
Camden,CAS14,CAP31,Urban Promise School,Passive Lawn,^A1u,Anthropogenic,Passive,Public,Disturbed
Camden,CAS16,CAP33,Octavius Catto School,Passive Lawn,^Cu,Anthropogenic,Passive,Public,Disturbed
Camden,CAS18,CAP35,Baird CSO,Passive Lawn,^Au,Anthropogenic,Passive,Public,Disturbed
Camden,CAS2,CAP2,29th Street,Rain Garden,^A1u,Anthropogenic,Active,UNK,Disturbed
Camden,CAS20,CAP37,Thorndyke CSO,Passive Lawn,^Au,Anthropogenic,Passive,Public,Disturbed
Camden,CAS23,CAP40,Brimm School,Gravel Parking Lot,^C,Anthropogenic,Passive,Public,Disturbed
Camden,CAS24,CAP41,Haddon,Construction Area,^C1u,Anthropogenic,Passive,Private,Disturbed
Camden,CAS25,CAP42,Yorkship Elementary,Gravel Parking Lot,^A1u,Anthropogenic,Passive,Public,Disturbed
Camden,CAS4,CAP4,Pyne Poynt,School Lawn,^A1u,Anthropogenic,Passive,Public,Disturbed
Camden,CAS6,CAP10,Cooper Sprouts,Community Garden,^A1u,Anthropogenic,Passive,Private,Disturbed
Camden,CAS7,CAP14,Ferry Library,Passive Lawn,^A,Anthropogenic,Passive,Public,Disturbed
Camden,CAS8,CAP16,Beckett Street Garden,Urban Garden,^A1u,Anthropogenic,Passive,Private,Disturbed
Camden,CAS9,CAP17,Ferry Avenue MUA,Rain Garden,^A,Anthropogenic,Active,Public,Disturbed
Cincinnati,CIS10,CIP19,,NATIVE,^C1,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS10,CIP21,,FILL,^C1,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS12,CIP24,,NATIVE,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS12,CIP25,,FILL,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS13,CIP26,,NATIVE,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS13,CIP27,,FILL,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS14,CIP28,,NATIVE,^A1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS14,CIP29,,FILL,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS15,CIP30,,NATIVE,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS16,CIP32,,NATIVE,^A,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS16,CIP33,,FILL,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS17,CIP35,,FILL,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS18,CIP36,,NATIVE,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS19,CIP38,,NATIVE,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS2,CIP3,,NATIVE,^C1,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS2,CIP4,,FILL,^C1,Anthropogenic,Passive,Private,Disturbed
Cincinnati,CIS20,CIP40,,NATIVE,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS20,CIP41,,FILL,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS21,CIP42,,NATIVE,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS21,CIP43,,FILL,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS22,CIP44,,NATIVE,^A,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS22,CIP45,,FILL,^A1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS23,CIP46,,NATIVE,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS24,CIP48,,NATIVE,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS24,CIP49,,FILL,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS3,CIP5,,NATIVE,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS3,CIP6,,FILL,^C1,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS30,CIP61,Rapid Run Park,NATIVE,^A,Anthropogenic/Till/Residual,Passive,Public,Disturbed
Cincinnati,CIS31,CIP63,Rapid Run Park,NATIVE,Ap,Anthropogenic/Till/Residual,Passive,Public,Disturbed
Cincinnati,CIS4,CIP7,,FILL,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS5,CIP10,,FILL,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS5,CIP9,,NATIVE,^C1u,Anthropogenic,Passive,UNK,Disturbed
Cincinnati,CIS6,CIP11,,FILL,^C1u,Anthropogenic/Till/Residual,Passive,UNK,Disturbed
Cincinnati,CIS7,CIP13,,FILL,^C1u,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS8,CIP16,,FILL,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cincinnati,CIS9,CIP17,,NATIVE,^Au,Anthropogenic/Till/Residual,Passive,Private,Disturbed
Cleveland,CLS1,CLP1,,FILL,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS1,CLP2,,NATIVE,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS10,CLP19,,FILL,^A,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS10,CLP20,,NATIVE,^Au,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS11,CLP21,,FILL,^A,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS11,CLP22,,NATIVE,^Au,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS12,CLP23,,FILL,^C,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
